Id_contenuto,durata_s,data_pubblicazione,tipo_contenuto,like,condivisioni,commenti,salvataggi,copertura,follower
18023588672176535,68,09/20/2024 00:57,Reel di Instagram,82,4,0,0,3795,0
18015474812316328,70,09/19/2024 03:27,Reel di Instagram,505,37,15,11,8114,6
17889761547018402,0,09/18/2024 22:30,Immagine di Instagram,655,61,4,47,14221,5
18063050188634034,86,09/16/2024 05:04,Reel di Instagram,382,4,2,38,7083,5
17918543975974560,0,09/14/2024 22:30,Immagine di Instagram,355,16,1,32,12159,0
18044584009838303,0,09/13/2024 22:30,Immagine di Instagram,201,10,0,6,6032,1
18066295747612313,92,09/13/2024 10:15,Reel di Instagram,359,21,10,22,160451,4
18102697726429030,151,09/13/2024 01:03,Reel di Instagram,961,19,81,62,16834,9
18056469178780706,0,09/12/2024 05:27,Immagine di Instagram,547,60,1,26,13526,4
17921948048942536,178,09/11/2024 08:30,Reel di Instagram,339,8,2,28,5558,4
18337060498120082,77,09/09/2024 13:13,Reel di Instagram,319,29,5,13,6522,1
18021295199408418,0,09/07/2024 22:30,Immagine di Instagram,212,23,1,28,6378,6
17848412073262042,0,09/06/2024 22:30,Immagine di Instagram,172,10,2,7,4674,1
17857592694248157,125,09/06/2024 07:36,Reel di Instagram,147,1,2,6,4068,2
18082204408501673,0,09/04/2024 22:30,Immagine di Instagram,212,13,0,10,6784,1
18361477315107751,179,09/04/2024 04:35,Reel di Instagram,2159,76,40,476,35108,174
17875813179140926,253,09/02/2024 04:23,Reel di Instagram,2701,55,121,80,28811,81
18065951239533043,0,08/31/2024 22:30,Immagine di Instagram,420,11,6,28,12714,0
18109828099408383,0,08/30/2024 22:30,Immagine di Instagram,121,1,3,4,4460,3
18058073569709856,88,08/30/2024 09:40,Reel di Instagram,565,2,5,49,11016,12
18145267999326937,0,08/30/2024 06:08,Carosello di Instagram,106,2,0,1,3893,1
18039862534877018,0,08/29/2024 02:42,Immagine di Instagram,317,4,4,8,9385,6
18355700848116336,57,08/28/2024 09:15,Reel di Instagram,4960,17,107,422,206620,463
18237547897263794,58,08/26/2024 03:30,Reel di Instagram,240,3,3,15,6585,2
17918223533967122,0,08/25/2024 22:30,Immagine di Instagram,100,0,1,0,3477,1
18451787974058570,0,08/23/2024 22:30,Immagine di Instagram,134,1,0,9,5819,0
18043002913812163,0,08/21/2024 22:30,Immagine di Instagram,946,32,10,50,24436,8
18038295230046114,64,08/18/2024 22:30,Reel di Instagram,185,1,6,7,6141,3
18045023869904532,79,08/17/2024 03:48,Reel di Instagram,1131,10,34,78,27937,2
17904567294009397,0,08/16/2024 22:30,Immagine di Instagram,129,1,0,6,4127,0
18292506148202996,0,08/14/2024 22:30,Immagine di Instagram,522,27,2,22,13549,1
18447645676027364,41,08/12/2024 08:16,Reel di Instagram,247,2,3,8,7433,2
17919603458949611,0,08/09/2024 22:30,Immagine di Instagram,147,4,0,10,4837,4
17975691935739285,0,08/07/2024 22:30,Immagine di Instagram,293,23,1,18,9436,1
18006088436357077,37,08/07/2024 08:01,Reel di Instagram,120,4,1,4,4775,0
18315137104153397,0,08/03/2024 22:30,Immagine di Instagram,78,2,0,0,4068,0
18009292049537431,0,08/02/2024 22:30,Immagine di Instagram,77,3,0,2,4775,1
18071795824483421,45,08/02/2024 08:19,Reel di Instagram,526,53,8,14,11927,7
18032565227143595,0,07/31/2024 22:30,Immagine di Instagram,819,55,4,47,13026,15
17882478339027599,256,07/31/2024 09:38,Reel di Instagram,653,7,12,151,11590,19
